word,format,ipa,arpa,arteme,ratio
fateschurch,arpa,feɪtʃɚtʃ,F EY CH CH,fəəʃəɹʃ,0.364
fateschurch,ipa,feɪtʃɚtʃ,F EY CH CH,fəəʃəɹʃ,0.455
faugh,arpa,fɑ,F,fə,0.200
faugh,arpa,fɒ,F AA,,0.400
faugh,arpa,fɔ,F AO,,0.400
faugh,arteme,fɑ,F,fə,0.400
faugh,ipa,fɑ,F,fə,0.400
faugh,ipa,fɒ,F AA,,0.400
faugh,ipa,fɔ,F AO,,0.400
fayette's,ipa,feɪɛts,F EY EH T S,fəəəs,0.444
fej,arpa,f,F,f,0.333
fej,arteme,f,F,f,0.333
fej,ipa,f,F,f,0.333
feuillemort,arpa,fɔɪmɔɹ,F OY M AO R,fəənəɹ,0.455
feuillemort,ipa,fɔɪmɔɹ,F OY M AO R,fəənəɹ,0.455
firkked's,ipa,fɝkdz,F ER K D Z,fəɹks,0.444
flahault,arpa,floʊ,F L OW,fləə,0.375
flahault,ipa,floʊ,F L OW,fləə,0.375
fluette's,arteme,fluts,F L UW T S,fləs,0.444
fluette's,ipa,fluts,F L UW T S,fləs,0.444
foote's,arteme,fʊts,F UH T S,fəs,0.429
foote's,ipa,fʊts,F UH T S,fəs,0.429
freight's,ipa,fɹeɪts,F R EY T S,fɹəəs,0.444
gaillarde's,ipa,geɪlʌdz,G EY L AH D Z,kəələs,0.455
gatesch,arpa,geɪtʃ,G EY CH,kəəʃ,0.429
gatesch,ipa,geɪtʃ,G EY CH,kəəʃ,0.429
gaugh,arpa,gɔ,G AO,kə,0.400
gaugh,arteme,gɔ,G AO,kə,0.400
gaugh,ipa,gɔ,G AO,kə,0.400
gayarre's,arpa,geɪɝz,G EY ER Z,kəəəɹs,0.444
gayarre's,ipa,geɪɝz,G EY ER Z,kəəəɹs,0.444
geaux,arpa,goʊ,G OW,kəə,0.400
geaux,ipa,goʊ,G OW,kəə,0.400
ghe,arpa,g,G,k,0.333
ghe,arteme,g,G,k,0.333
ghe,ipa,g,G,k,0.333
goode's,arteme,gʊdz,G UH D Z,kəs,0.429
goode's,ipa,gʊdz,G UH D Z,kəs,0.429
gooee,arpa,gu,G UW,kə,0.400
gooee,arteme,gu,G UW,kə,0.400
gooee,ipa,gu,G UW,kə,0.400
gottsch,arpa,gɑtʃ,G AA CH,kəʃ,0.429
gottsch,arteme,gɑtʃ,G AA CH,kəʃ,0.429
gottsch,ipa,gɑtʃ,G AA CH,kəʃ,0.429
gottsched,arpa,gɑtʃt,G AA CH T,kəʃt,0.444
gottsched,arteme,gɑtʃt,G AA CH T,kəʃt,0.444
gottsched,ipa,gɑtʃt,G AA CH T,kəʃt,0.444
goude's,arteme,gudz,G UW D Z,kəs,0.429
goude's,ipa,gudz,G UW D Z,kəs,0.429
gough's,arpa,gaʊz,G AW Z,kəəs,0.429
gough's,ipa,gaʊz,G AW Z,kəəs,0.429
groac'h,arpa,gɹoʊ,G R OW,kɹəə,0.429
groac'h,ipa,gɹoʊ,G R OW,kɹəə,0.429
guerriere,arpa,gɝɪɹ,G ER IH R,kəɹəɹ,0.444
guerriere,ipa,gɝɪɹ,G ER IH R,kəɹəɹ,0.444
gueux,arpa,goʊ,G OW,kəə,0.400
gueux,ipa,goʊ,G OW,kəə,0.400
guide's,ipa,gaɪdz,G AY D Z,kəəs,0.429
ha'sh,arpa,hʃ,HH SH,hʃ,0.400
ha'sh,arteme,hʃ,HH SH,hʃ,0.400
ha'sh,ipa,hʃ,HH SH,hʃ,0.400
haigh,arpa,heɪ,HH EY,həə,0.400
haigh,ipa,heɪ,HH EY,həə,0.400
haigh's,arpa,heɪz,HH EY Z,həəs,0.429
haigh's,ipa,heɪz,HH EY Z,həəs,0.429
haight's,ipa,heɪts,HH EY T S,həəs,0.375
haught's,arteme,hɔts,HH AO T S,həs,0.375
haught's,ipa,hɔts,HH AO T S,həs,0.375
haughts,arteme,hɔts,HH AO T S,həs,0.429
haughts,ipa,hɔts,HH AO T S,həs,0.429
heard's,ipa,hɝdz,HH ER D Z,həɹs,0.429
herault,arpa,hɝoʊ,HH ER OW,həɹəə,0.429
herault,ipa,hɝoʊ,HH ER OW,həɹəə,0.429
herbux,arpa,ɝb,ER B,əɹp,0.333
herbux,ipa,ɝb,ER B,əɹp,0.333
hersche,arpa,hɚʃ,HH SH,həɹʃ,0.286
hersche,ipa,hɚʃ,HH SH,həɹʃ,0.429
highborough,arpa,haɪbɚoʊ,HH AY B OW,həəpəɹəə,0.364
highborough,ipa,haɪbɚoʊ,HH AY B OW,həəpəɹəə,0.455
hiu,arpa,u,UW,ə,0.333
hiu,arteme,u,UW,ə,0.333
hiu,ipa,u,UW,ə,0.333
hnw,arpa,n,N,n,0.333
hnw,arteme,n,N,n,0.333
hnw,ipa,n,N,n,0.333
hoigh,arpa,hɔɪ,HH OY,həə,0.400
hoigh,ipa,hɔɪ,HH OY,həə,0.400
houghed,arpa,haʊd,HH AW D,həət,0.429
houghed,ipa,haʊd,HH AW D,həət,0.429
houre,arpa,aʊɝ,AW ER,əəəɹ,0.400
houre,ipa,aʊɝ,AW ER,əəəɹ,0.400
howe'er,arpa,haʊɝ,HH AW ER,həəəɹ,0.429
howe'er,ipa,haʊɝ,HH AW ER,həəəɹ,0.429
hrh,arpa,ɹ,R,ɹ,0.333
hrh,arteme,ɹ,R,ɹ,0.333
hrh,ipa,ɹ,R,ɹ,0.333
hrr,ipa,ɚ,,əɹ,0.333
hrrrrrrh,ipa,ɚɚɚ,,əɹəɹəɹ,0.375
hsh,arpa,ʃ,SH,ʃ,0.333
hsh,arteme,ʃ,SH,ʃ,0.333
hsh,ipa,ʃ,SH,ʃ,0.333
hsiao,arpa,ʃaʊ,SH AW,ʃəə,0.400
hsiao,ipa,ʃaʊ,SH AW,ʃəə,0.400
htt,arpa,t,T,t,0.333
htt,arteme,t,T,t,0.333
htt,ipa,t,T,t,0.333
i'th',arpa,ɪd,IH D,əf,0.400
i'th',arpa,ɪv,IH DH,ət,0.400
i'th',arpa,ɪð,IH V,əθ,0.400
i'th',arteme,ɪd,IH D,əf,0.400
i'th',arteme,ɪv,IH DH,ət,0.400
i'th',arteme,ɪð,IH V,əθ,0.400
i'th',ipa,ɪd,IH D,əf,0.400
i'th',ipa,ɪv,IH DH,ət,0.400
i'th',ipa,ɪð,IH V,əθ,0.400
i'the,arpa,aɪð,AY DH,əəθ,0.400
i'the,ipa,aɪð,AY DH,əəθ,0.400
iae,arpa,i,IY,ə,0.333
iae,arteme,i,IY,ə,0.333
iae,ipa,i,IY,ə,0.333
ide's,ipa,aɪdz,AY D Z,əəs,0.400
igh,arpa,aɪ,AY,əə,0.333
igh,ipa,aɪ,AY,əə,0.333
igher,arpa,aɪɝ,AY ER,əəəɹ,0.400
igher,ipa,aɪɝ,AY ER,əəəɹ,0.400
ische,arpa,ɪʃ,IH SH,əʃ,0.400
ische,arteme,ɪʃ,IH SH,əʃ,0.400
ische,ipa,ɪʃ,IH SH,əʃ,0.400
iwe,arpa,aɪ,AY,əə,0.333
iwe,ipa,aɪ,AY,əə,0.333
jacques,arpa,dʒæk,JH K,,0.286
jacques,arpa,dʒak,JH AE K,ʃək,0.429
jacques,arpa,ʒɑk,ZH AA K,,0.429
jacques,arteme,dʒak,JH AE K,ʃək,0.429
jacques,ipa,dʒak,JH AE K,ʃək,0.429
jacques,ipa,dʒæk,JH K,,0.429
jacques,ipa,ʒɑk,ZH AA K,,0.429
jacques's,arpa,dʒækz,JH AE K Z,ʃəks,0.444
jacques's,arteme,dʒækz,JH AE K Z,ʃəks,0.444
jacques's,ipa,dʒækz,JH AE K Z,ʃəks,0.444
jarette's,ipa,jɝɛts,Y ER EH T S,əəɹəs,0.444
jeannette's,arteme,dʒʌnɛts,JH AH N EH T S,ʃənəs,0.455
jeannette's,ipa,dʒʌnɛts,JH AH N EH T S,ʃənəs,0.455
jej,arpa,dʒ,JH,ʃ,0.333
jej,arteme,dʒ,JH,ʃ,0.333
jej,ipa,dʒ,JH,ʃ,0.333
jette's,arteme,dʒɛts,JH EH T S,ʃəs,0.429
jette's,ipa,dʒɛts,JH EH T S,ʃəs,0.429
kaehlertsch,arpa,kɛlɝtʃ,K EH L ER CH,kələɹʃ,0.455
kaehlertsch,ipa,kɛlɝtʃ,K EH L ER CH,kələɹʃ,0.455
katte's,arteme,kæts,K AE T S,kəs,0.429
katte's,ipa,kæts,K AE T S,kəs,0.429
keawe,arpa,ki,K IY,kə,0.400
keawe,arteme,ki,K IY,kə,0.400
keawe,ipa,ki,K IY,kə,0.400
keawe's,arpa,kiz,K IY Z,kəs,0.429
keawe's,arteme,kiz,K IY Z,kəs,0.429
keawe's,ipa,kiz,K IY Z,kəs,0.429
knight's,ipa,naɪts,N AY T S,nəəs,0.375
knighte,arpa,naɪt,N AY T,nəət,0.429
knighte,ipa,naɪt,N AY T,nəət,0.429
knightheugh,arpa,naɪðu,N AY DH UW,nəəθə,0.364
knightheugh,arteme,naɪðu,N AY DH UW,nəəθə,0.455
knightheugh,ipa,naɪðu,N AY DH UW,nəəθə,0.364
knott's,arteme,nɑts,N AA T S,nəs,0.429
knott's,ipa,nɑts,N AA T S,nəs,0.429
know',arpa,noʊ,N OW,nəə,0.400
know',ipa,noʊ,N OW,nəə,0.400
knowe,arpa,noʊ,N OW,nəə,0.400
knowe,ipa,noʊ,N OW,nəə,0.400
kutsche,arpa,kʌtʃ,K AH CH,kəʃ,0.429
kutsche,arteme,kʌtʃ,K AH CH,kəʃ,0.429
kutsche,ipa,kʌtʃ,K AH CH,kəʃ,0.429
l'eau,arpa,loʊ,L OW,ləə,0.400
l'eau,ipa,loʊ,L OW,ləə,0.400
l'oeuvre,arpa,lɝv,L ER V,ləɹf,0.375
l'oeuvre,ipa,lɝv,L ER V,ləɹf,0.375
laigh,arpa,leɪ,L EY,ləə,0.400
laigh,ipa,leɪ,L EY,ləə,0.400
laugharne,arpa,lɑɹn,L AA R N,ləɹn,0.444
laugharne,arteme,lɑɹn,L AA R N,ləɹn,0.444
laugharne,ipa,lɑɹn,L AA R N,ləɹn,0.444
lausche,arpa,lɔʃ,L AO SH,ləʃ,0.429
lausche,arteme,lɔʃ,L AO SH,ləʃ,0.429
lausche,ipa,lɔʃ,L AO SH,ləʃ,0.429
leete's,arteme,lits,L IY T S,ləs,0.429
leete's,ipa,lits,L IY T S,ləs,0.429
leigh,arpa,laɪ,IY,lə,0.200
leigh,arpa,li,L AY,ləə,0.400
leigh,arpa,ʎi,L IY,,0.400
leigh,arteme,laɪ,IY,lə,0.400
leigh,ipa,laɪ,IY,lə,0.400
leigh,ipa,li,L AY,ləə,0.400
leigh,ipa,ʎi,L IY,,0.400
leigh's,arpa,liz,L IY Z,ləs,0.429
leigh's,arteme,liz,L IY Z,ləs,0.429
leigh's,ipa,liz,L IY Z,ləs,0.429
lej,arpa,l,L,l,0.333
lej,arteme,l,L,l,0.333
lej,ipa,l,L,l,0.333
lhe,arpa,l,L,l,0.333
lhe,arteme,l,L,l,0.333
lhe,ipa,l,L,l,0.333
lheureux,arpa,lɝoʊ,L ER OW,ləɹəə,0.375
lheureux,ipa,lɝoʊ,L ER OW,ləɹəə,0.375
liehtse,arteme,lits,L IY T S,ləs,0.429
liehtse,ipa,lits,L IY T S,ləs,0.429
lieux,arpa,lu,L UW,lə,0.400
lieux,arteme,lu,L UW,lə,0.400
lieux,ipa,lu,L UW,lə,0.400
lighere,arpa,laɪɚ,L AY,ləəəɹ,0.286
lighere,ipa,laɪɚ,L AY,ləəəɹ,0.429
light's,ipa,laɪts,L AY T S,ləəs,0.429
lloyd's,ipa,lɔɪdz,L OY D Z,ləəs,0.429
loaille,arpa,loʊl,L OW L,ləəl,0.429
loaille,ipa,loʊl,L OW L,ləəl,0.429
loide's,ipa,lɔɪdz,L OY D Z,ləəs,0.429
loough,arpa,lu,L UW,lə,0.333
loough,arteme,lu,L UW,lə,0.333
loough,ipa,lu,L UW,lə,0.333
lougher,arpa,lɔɚ,L AO,ləəɹ,0.286
lougher,ipa,lɔɚ,L AO,ləəɹ,0.429
lowthough,arpa,laʊθaʊ,L AW TH AW,ləəθəə,0.444
lowthough,ipa,laʊθaʊ,L AW TH AW,ləəθəə,0.444
ma'll,arpa,ml,M L,nl,0.400
ma'll,arteme,ml,M L,nl,0.400
ma'll,ipa,ml,M L,nl,0.400
ma'sh,arpa,mʃ,M SH,nʃ,0.400
ma'sh,arteme,mʃ,M SH,nʃ,0.400
ma'sh,ipa,mʃ,M SH,nʃ,0.400
mahse'f,arpa,meɪf,M EY F,nəəf,0.429
mahse'f,ipa,meɪf,M EY F,nəəf,0.429
marette's,ipa,mɝɛts,M ER EH T S,nəɹəs,0.444
mary'll,arpa,mɝl,M ER L,nəɹl,0.429
mary'll,ipa,mɝl,M ER L,nəɹl,0.429
mauaugh,arpa,məɔ,M AO,nəə,0.286
mauaugh,arteme,məɔ,M AO,nəə,0.429
mauaugh,ipa,məɔ,M AO,nəə,0.429
maude's,arteme,mɔdz,M AO D Z,nəs,0.429
maude's,ipa,mɔdz,M AO D Z,nəs,0.429
maugh,arpa,mɔ,M AO,nə,0.400
maugh,arteme,mɔ,M AO,nə,0.400
maugh,ipa,mɔ,M AO,nə,0.400
mckeigh,arpa,mkaɪ,M K AY,nkəə,0.429
mckeigh,ipa,mkaɪ,M K AY,nkəə,0.429
meade's,arteme,midz,M IY D Z,nəs,0.429
meade's,ipa,midz,M IY D Z,nəs,0.429
meagher,arpa,mɑɹ,M AA R,nəɹ,0.429
meagher,arteme,mɑɹ,M AA R,nəɹ,0.429
meagher,ipa,mɑɹ,M AA R,nəɹ,0.429
meagher's,arpa,mɑɝz,M AA ER Z,nəəɹs,0.444
meagher's,ipa,mɑɝz,M AA ER Z,nəəɹs,0.444
meaux,arpa,moʊ,M OW,nəə,0.400
meaux,ipa,moʊ,M OW,nəə,0.400
meigs's,arpa,miz,M IY Z,nəs,0.429
meigs's,arteme,miz,M IY Z,nəs,0.429
meigs's,ipa,miz,M IY Z,nəs,0.429
meilleraie,arpa,maɪɝaɪ,M AY ER AY,nəəəɹəə,0.400
meilleraie,ipa,maɪɝaɪ,M AY ER AY,nəəəɹəə,0.400
meilleraye,arpa,maɪɹeɪ,M AY R EY,nəəɹəə,0.400
meilleraye,ipa,maɪɹeɪ,M AY R EY,nəəɹəə,0.400
meilleure,arpa,milɝ,M IY L ER,nələɹ,0.444
meilleure,ipa,milɝ,M IY L ER,nələɹ,0.444
meurthe,arpa,mɝθ,M ER TH,nəɹθ,0.429
meurthe,ipa,mɝθ,M ER TH,nəɹθ,0.429
mhorr,arpa,mɔ,M AO,nə,0.400
mhorr,arteme,mɔ,M AO,nə,0.400
mhorr,ipa,mɔ,M AO,nə,0.400
miette's,arteme,mits,M IY T S,nəs,0.375
miette's,ipa,mits,M IY T S,nəs,0.375
might's,ipa,maɪts,M AY T S,nəəs,0.429
mme,arpa,m,M,n,0.333
mme,arteme,m,M,n,0.333
mme,ipa,m,M,n,0.333
mmm,arpa,m,M,n,0.333
mmm,arteme,m,M,n,0.333
mmm,ipa,m,M,n,0.333
motte's,arteme,mɑts,M AA T S,nəs,0.429
motte's,ipa,mɑts,M AA T S,nəs,0.429
mouille,arpa,mui,M UW IY,nəə,0.429
mouille,arteme,mui,M UW IY,nəə,0.429
mouille,ipa,mui,M UW IY,nəə,0.429
murre,arpa,mɜ,M,nə,0.200
murre,arpa,mɝ,M ER,nəɹ,0.400
murre,arteme,mɜ,M,nə,0.400
murre,ipa,mɜ,M,nə,0.400
murre,ipa,mɝ,M ER,nəɹ,0.400
naaaa,arpa,noʊ,N OW,nəə,0.400
naaaa,ipa,noʊ,N OW,nəə,0.400
natchereh,arpa,nætʃɚ,N AE CH,nəʃəɹ,0.333
natchereh,ipa,nætʃɚ,N AE CH,nəʃəɹ,0.444
naught's,arteme,nɔts,N AO T S,nəs,0.375
naught's,ipa,nɔts,N AO T S,nəs,0.375
naughts,arteme,nɔts,N AO T S,nəs,0.429
naughts,ipa,nɔts,N AO T S,nəs,0.429
neertshe,arpa,nɚʃ,N SH,nəɹʃ,0.250
neertshe,ipa,nɚʃ,N SH,nəɹʃ,0.375
neetesh,arpa,nitʃ,N IY CH,nəʃ,0.429
neetesh,arteme,nitʃ,N IY CH,nəʃ,0.429
neetesh,ipa,nitʃ,N IY CH,nəʃ,0.429
neigh's,arpa,neɪz,N EY Z,nəəs,0.429
neigh's,ipa,neɪz,N EY Z,nəəs,0.429
neighboured,arpa,neɪbɝd,N EY B ER D,nəəpəɹt,0.455
neighboured,ipa,neɪbɝd,N EY B ER D,nəəpəɹt,0.455
neihmeh,arpa,naɪm,N AY M,nəən,0.429
neihmeh,ipa,naɪm,N AY M,nəən,0.429
nietzsche,arpa,nitʃi,IY CH,nəʃə,0.222
nietzsche,arpa,nitʃə,N IY CH,,0.333
nietzsche,arpa,ɲitʃə,N IY CH IY,,0.444
nietzsche,arteme,nitʃi,IY CH,nəʃə,0.444
nietzsche,ipa,nitʃi,IY CH,nəʃə,0.444
nietzsche,ipa,nitʃə,N IY CH,,0.444
nietzsche,ipa,ɲitʃə,N IY CH IY,,0.444
nietzsche's,arpa,nitʃiz,N IY CH IY Z,nəʃəs,0.455
nietzsche's,arteme,nitʃiz,N IY CH IY Z,nəʃəs,0.455
nietzsche's,ipa,nitʃiz,N IY CH IY Z,nəʃəs,0.455
night's,ipa,naɪts,N AY T S,nəəs,0.429
nightshar,arpa,naɪʃɚ,N AY SH,nəəʃəɹ,0.333
nightshar,ipa,naɪʃɚ,N AY SH,nəəʃəɹ,0.444
nightshirts,ipa,naɪtʃɝts,N AY CH ER T S,nəəʃəɹs,0.455
nighy,arpa,naɪ,N AY,nəə,0.400
nighy,ipa,naɪ,N AY,nəə,0.400
nitzsch,arpa,nɪtʃ,N IH CH,nəʃ,0.429
nitzsch,arteme,nɪtʃ,N IH CH,nəʃ,0.429
nitzsch,ipa,nɪtʃ,N IH CH,nəʃ,0.429
nne,arpa,n,N,n,0.333
nne,arteme,n,N,n,0.333
nne,ipa,n,N,n,0.333
nought's,arteme,nɑts,N AA T S,nəs,0.375
nought's,ipa,nɑts,N AA T S,nəs,0.375
nought's,ipa,nɔts,N AO T S,,0.375
noughts,arpa,nɔts,N T S,,0.429
noughts,arteme,nɒts,N AO T S,nəs,0.429
noughts,ipa,nɒts,N AO T S,nəs,0.429
noughts,ipa,nɔts,N T S,,0.429
o'erwrought,arpa,oʊɝɹɔt,OW ER R AO T,əəəɹɹət,0.455
o'erwrought,ipa,oʊɝɹɔt,OW ER R AO T,əəəɹɹət,0.455
o'meagher,arpa,oʊmɑɹ,OW M AA R,əənəɹ,0.444
o'meagher,ipa,oʊmɑɹ,OW M AA R,əənəɹ,0.444
o'th',arpa,əd,D,əf,0.200
o'th',arpa,əv,DH,ət,0.200
o'th',arpa,əð,V,əθ,0.200
o'th',arteme,əd,D,əf,0.400
o'th',arteme,əv,DH,ət,0.400
o'th',arteme,əð,V,əθ,0.400
o'th',ipa,əd,D,əf,0.400
o'th',ipa,əv,DH,ət,0.400
o'th',ipa,əð,V,əθ,0.400
o'the,arpa,oʊð,OW DH,əəθ,0.400
o'the,ipa,oʊð,OW DH,əəθ,0.400
oau,arpa,oʊ,OW,əə,0.333
oau,ipa,oʊ,OW,əə,0.333
oaude,arpa,oʊd,OW D,əət,0.400
oaude,ipa,oʊd,OW D,əət,0.400
odd's,arteme,ɑdz,AA D Z,əs,0.400
odd's,ipa,ɑdz,AA D Z,əs,0.400
oee,arpa,oʊ,OW,əə,0.333
oee,ipa,oʊ,OW,əə,0.333
oeuvres,arpa,ɝvz,ER V Z,əɹfs,0.429
oeuvres,ipa,ɝvz,ER V Z,əɹfs,0.429
ogh,arpa,oʊ,OW,əə,0.333
ogh,ipa,oʊ,OW,əə,0.333
ohere,arpa,oʊɚ,OW,əəəɹ,0.200
ohere,ipa,oʊɚ,OW,əəəɹ,0.400
oi'll,arpa,ɔɪl,OY L,əəl,0.400
oi'll,ipa,ɔɪl,OY L,əəl,0.400
oi've,arpa,ɔɪv,OY V,əəf,0.400
oi've,ipa,ɔɪv,OY V,əəf,0.400
oie,arpa,ɔɪ,OY,əə,0.333
oie,ipa,ɔɪ,OY,əə,0.333
oigh,arpa,ɔɪ,OY,əə,0.250
oigh,ipa,ɔɪ,OY,əə,0.250
oiseaux,arpa,wɑoʊ,W AA OW,əəəə,0.429
oiseaux,ipa,wɑoʊ,W AA OW,əəəə,0.429
oo're,arpa,uɝ,UW ER,əəɹ,0.400
oo're,ipa,uɝ,UW ER,əəɹ,0.400
oogee,arpa,udʒ,UW JH,əʃ,0.400
oogee,arteme,udʒ,UW JH,əʃ,0.400
oogee,ipa,udʒ,UW JH,əʃ,0.400
ooh,arpa,u,UW,ə,0.333
ooh,arteme,u,UW,ə,0.333
ooh,ipa,u,UW,ə,0.333
oooh,arpa,u,UW,ə,0.250
oooh,arteme,u,UW,ə,0.250
oooh,ipa,u,UW,ə,0.250
ooooooh,arpa,uuu,UW UW UW,əəə,0.429
ooooooh,arteme,uuu,UW UW UW,əəə,0.429
ooooooh,ipa,uuu,UW UW UW,əəə,0.429
ooooooo,arpa,uuu,UW UW UW,əəə,0.429
ooooooo,arteme,uuu,UW UW UW,əəə,0.429
ooooooo,ipa,uuu,UW UW UW,əəə,0.429
ooooooooo,arpa,uuuu,UW UW UW UW,əəəə,0.444
ooooooooo,arteme,uuuu,UW UW UW UW,əəəə,0.444
ooooooooo,ipa,uuuu,UW UW UW UW,əəəə,0.444
ooooooooooo,arpa,uuuuu,UW UW UW UW UW,əəəəə,0.455
ooooooooooo,arteme,uuuuu,UW UW UW UW UW,əəəəə,0.455
ooooooooooo,ipa,uuuuu,UW UW UW UW UW,əəəəə,0.455
ooooooooooooo,arpa,uuuuuu,UW UW UW UW UW UW,əəəəəə,0.462
ooooooooooooo,arteme,uuuuuu,UW UW UW UW UW UW,əəəəəə,0.462
ooooooooooooo,ipa,uuuuuu,UW UW UW UW UW UW,əəəəəə,0.462
ooooooooooooooo,arpa,uuuuuuu,UW UW UW UW UW UW UW,əəəəəəə,0.467
ooooooooooooooo,arteme,uuuuuuu,UW UW UW UW UW UW UW,əəəəəəə,0.467
ooooooooooooooo,ipa,uuuuuuu,UW UW UW UW UW UW UW,əəəəəəə,0.467
oooooooooooooooh,arpa,uuuuuuu,UW UW UW UW UW UW UW,əəəəəəə,0.438
oooooooooooooooh,arteme,uuuuuuu,UW UW UW UW UW UW UW,əəəəəəə,0.438
oooooooooooooooh,ipa,uuuuuuu,UW UW UW UW UW UW UW,əəəəəəə,0.438
ooooooooooooooooooo,arpa,uuuuuuuuu,UW UW UW UW UW UW UW UW UW,əəəəəəəəə,0.474
ooooooooooooooooooo,arteme,uuuuuuuuu,UW UW UW UW UW UW UW UW UW,əəəəəəəəə,0.474
ooooooooooooooooooo,ipa,uuuuuuuuu,UW UW UW UW UW UW UW UW UW,əəəəəəəəə,0.474
ooooooooooooooooooooooooooooooooooooooooooo,arpa,uuuuuuuuuuuuuuuuuuuuu,UW UW UW UW UW UW UW UW UW UW UW UW UW UW UW UW UW UW UW UW UW,əəəəəəəəəəəəəəəəəəəəə,0.488
ooooooooooooooooooooooooooooooooooooooooooo,arteme,uuuuuuuuuuuuuuuuuuuuu,UW UW UW UW UW UW UW UW UW UW UW UW UW UW UW UW UW UW UW UW UW,əəəəəəəəəəəəəəəəəəəəə,0.488
ooooooooooooooooooooooooooooooooooooooooooo,ipa,uuuuuuuuuuuuuuuuuuuuu,UW UW UW UW UW UW UW UW UW UW UW UW UW UW UW UW UW UW UW UW UW,əəəəəəəəəəəəəəəəəəəəə,0.488
or',arpa,ɝ,ER,əɹ,0.333
or',ipa,ɝ,ER,əɹ,0.333
orh,arpa,ɔ,AO,ə,0.333
orh,arteme,ɔ,AO,ə,0.333
orh,ipa,ɔ,AO,ə,0.333
ormeaux,arpa,ɝmoʊ,ER M OW,əɹnəə,0.429
ormeaux,ipa,ɝmoʊ,ER M OW,əɹnəə,0.429
ottes,arteme,ɑts,AA T S,əs,0.400
ottes,ipa,ɑts,AA T S,əs,0.400
ouche,arpa,aʊtʃ,AW CH,əəʃ,0.400
ouche,ipa,aʊtʃ,AW CH,əəʃ,0.400
ough,arpa,oʊ,OW,əə,0.250
ough,ipa,oʊ,OW,əə,0.250
oughtchuck,arpa,ɔtʃʌk,AO CH AH K,əʃək,0.400
oughtchuck,arteme,ɔtʃʌk,AO CH AH K,əʃək,0.400
oughtchuck,ipa,ɔtʃʌk,AO CH AH K,əʃək,0.400
oughter,arpa,ɔtɝ,AO T ER,ətəɹ,0.429
oughter,ipa,ɔtɝ,AO T ER,ətəɹ,0.429
oughtta,arpa,ɔtʌ,AO T AH,ətə,0.429
oughtta,arteme,ɔtʌ,AO T AH,ətə,0.429
oughtta,ipa,ɔtʌ,AO T AH,ətə,0.429
ouphe,arpa,aʊf,AW F,əf,0.400
ouphe,arpa,uf,UW F,əəf,0.400
ouphe,arteme,aʊf,AW F,əf,0.400
ouphe,ipa,aʊf,AW F,əf,0.400
ouphe,ipa,uf,UW F,əəf,0.400
our's,arpa,ɝz,ER Z,əɹs,0.400
our's,ipa,ɝz,ER Z,əɹs,0.400
out's,ipa,aʊts,AW T S,əəs,0.400
outch,arpa,aʊtʃ,AW CH,əəʃ,0.400
outch,ipa,aʊtʃ,AW CH,əəʃ,0.400
outchurch,arpa,aʊtʃɚtʃ,AW CH CH,əəʃəɹʃ,0.333
outchurch,ipa,aʊtʃɚtʃ,AW CH CH,əəʃəɹʃ,0.444
outdrew,arpa,aʊtɹ,AW T R,əətɹ,0.429
outdrew,ipa,aʊtɹ,AW T R,əətɹ,0.429
owehe,arpa,oʊh,OW HH,əəh,0.400
owehe,ipa,oʊh,OW HH,əəh,0.400
oycke,arpa,ɔɪk,OY K,əək,0.400
oycke,ipa,ɔɪk,OY K,əək,0.400
oye,arpa,ɔɪ,OY,əə,0.333
oye,ipa,ɔɪ,OY,əə,0.333
oysche,arpa,ɔɪʃ,OY SH,əəʃ,0.333
oysche,ipa,ɔɪʃ,OY SH,əəʃ,0.333
paugh,arpa,pɔ,P AO,pə,0.400
paugh,arteme,pɔ,P AO,pə,0.400
paugh,ipa,pɔ,P AO,pə,0.400
paugher,arpa,pɔɚ,P AO,pəəɹ,0.286
paugher,ipa,pɔɚ,P AO,pəəɹ,0.429
peoah,arpa,poʊ,P OW,pəə,0.400
peoah,ipa,poʊ,P OW,pəə,0.400
phe,arpa,f,F,f,0.333
phe,arteme,f,F,f,0.333
phe,ipa,f,F,f,0.333
pierrette's,arteme,pɪɹɛts,P IH R EH T S,pəɹəs,0.455
pierrette's,ipa,pɪɹɛts,P IH R EH T S,pəɹəs,0.455
pough,arpa,paʊ,P AW,pəə,0.400
pough,ipa,paʊ,P AW,pəə,0.400
poussette's,arteme,pusɛts,P UW S EH T S,pəsəs,0.455
poussette's,ipa,pusɛts,P UW S EH T S,pəsəs,0.455
ppe,arpa,p,P,p,0.333
ppe,arteme,p,P,p,0.333
ppe,ipa,p,P,p,0.333
purre,arpa,pɝ,P ER,pəɹ,0.400
purre,ipa,pɝ,P ER,pəɹ,0.400
qah,arpa,k,K,k,0.333
qah,arteme,k,K,k,0.333
qah,ipa,k,K,k,0.333
raaaa,arpa,ɹoʊ,R OW,ɹəə,0.400
raaaa,ipa,ɹoʊ,R OW,ɹəə,0.400
raaaaaa,arpa,ɹoʊoʊ,R OW OW,ɹəəəə,0.429
raaaaaa,ipa,ɹoʊoʊ,R OW OW,ɹəəəə,0.429
raaaaaaaa,arpa,ɹoʊoʊoʊ,R OW OW OW,ɹəəəəəə,0.444
